period_start,trading_end,Long,Short,distance,return_diff_entry,return_diff_exit,trigger,return,date_entry,date_exit,exit_reason,days_in_trade
2023-01-03,2024-05-31,SPGI,EQIX,0.24698302622531515,0.07319525802185489,0.03496452474899392,0.06157501640714595,-0.019901095662302026,2024-04-30 04:00:00+00:00,2024-05-09 04:00:00+00:00,Convergence,7
2023-01-03,2024-05-31,EQIX,SPG,0.24698302622531515,-0.06445668245104752,-0.059266428776327484,0.06157501640714595,-0.0018331982155913584,2024-02-12 05:00:00+00:00,2024-02-13 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,EQIX,SPG,0.24698302622531515,-0.062337095096148154,-0.04444087602071056,0.06157501640714595,-0.009028585264023725,2024-02-14 05:00:00+00:00,2024-03-20 04:00:00+00:00,Convergence,24
2023-01-03,2024-05-31,SPG,EQIX,0.24698302622531515,0.07319525802185489,0.03496452474899392,0.06157501640714595,-0.019901095662302026,2024-04-30 04:00:00+00:00,2024-05-09 04:00:00+00:00,Convergence,7
2023-01-03,2024-05-31,WAB,APH,0.2494286803055946,-0.09611014619013036,-0.03469049984412598,0.05212368930897769,-0.024286051851115764,2024-04-24 04:00:00+00:00,2024-04-29 04:00:00+00:00,Convergence,3
2023-01-03,2024-05-31,APH,WAB,0.2494286803055946,0.06325855360767352,0.0426765317357507,0.05212368930897769,-0.0072112397539674244,2024-05-23 04:00:00+00:00,2024-05-28 04:00:00+00:00,Convergence,2
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.06321386278909114,-0.08693020679511809,0.06309996499179937,0.011227880219399022,2024-02-07 05:00:00+00:00,2024-03-14 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.09570471662950175,-0.047743425472458245,0.06309996499179937,-0.022984540473087622,2024-03-15 04:00:00+00:00,2024-04-02 04:00:00+00:00,Convergence,11
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.06784238881152882,-0.05078707157464846,0.06309996499179937,-0.008092487331792797,2024-04-03 04:00:00+00:00,2024-04-04 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.0712913227393901,-0.061076126124864016,0.06309996499179937,-0.004395749468971921,2024-04-05 04:00:00+00:00,2024-04-12 04:00:00+00:00,Convergence,5
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.07448542206753073,-0.05886686083706749,0.06309996499179937,-0.007037111611928548,2024-04-15 04:00:00+00:00,2024-05-08 04:00:00+00:00,Convergence,17
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.06320710747602942,-0.06227270806790508,0.06309996499179937,-0.00019709691902902726,2024-05-09 04:00:00+00:00,2024-05-14 04:00:00+00:00,Convergence,3
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.06554208000161998,-0.06258010644010614,0.06309996499179937,-0.001541643187791819,2024-05-16 04:00:00+00:00,2024-05-17 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,ELV,DUK,0.2510063393732583,-0.06746792280948166,-0.025439419708188415,0.06309996499179937,-0.017871996757482744,2024-05-22 04:00:00+00:00,2024-05-24 04:00:00+00:00,Convergence,2
