period_start,trading_end,Long,Short,distance,return_diff_entry,return_diff_exit,trigger,return,date_entry,date_exit,exit_reason,days_in_trade
2020-01-02,2021-06-29,UAA,UA,0.016765824013410896,0.016865277945533608,0.013937477406764653,0.015078021926500155,-0.0012816926354208835,2021-01-25 05:00:00+00:00,2021-01-26 05:00:00+00:00,Convergence,1
2020-01-02,2021-06-29,UAA,UA,0.016765824013410896,0.020261662596972485,0.014512824796631296,0.015078021926500155,-0.0023219308969062435,2021-01-27 05:00:00+00:00,2021-02-01 05:00:00+00:00,Convergence,3
2020-01-02,2021-06-29,UAA,UA,0.016765824013410896,0.015965375316450592,0.058246859648667826,0.015078021926500155,0.023271477361290316,2021-02-04 05:00:00+00:00,2021-03-12 05:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,UAA,UA,0.016765824013410896,0.05634201578297615,0.04411229240176495,0.015078021926500155,0.0060899517893466815,2021-03-15 04:00:00+00:00,2021-04-20 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,UAA,UA,0.016765824013410896,0.04752421341461188,0.0636551426633416,0.015078021926500155,0.006719662782100677,2021-04-21 04:00:00+00:00,2021-05-26 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,UAA,UA,0.016765824013410896,0.04303292959987326,0.011112882558499404,0.015078021926500155,-0.011900796647590584,2021-05-27 04:00:00+00:00,2021-06-02 04:00:00+00:00,Convergence,3
2020-01-02,2021-06-29,UA,UAA,0.016765824013410896,-0.01804007278782538,-0.020626061870508527,0.015078021926500155,0.0017531676297213306,2021-06-25 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,1
2020-01-02,2021-06-29,NWSA,NWS,0.12195842050093417,0.028882691054480603,0.09912337009277272,0.02745510970373129,0.028451311575732774,2021-03-03 05:00:00+00:00,2021-04-08 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,NWSA,NWS,0.12195842050093417,0.10083236091625047,0.08563431166227042,0.02745510970373129,-0.005443702825711716,2021-04-09 04:00:00+00:00,2021-05-14 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,NWSA,NWS,0.12195842050093417,0.08664539932283688,0.06321222398209403,0.02745510970373129,-0.0059510756942540155,2021-05-17 04:00:00+00:00,2021-06-22 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,NWSA,NWS,0.12195842050093417,0.06887526604020011,0.06709543110318772,0.02745510970373129,-0.0007957926866613008,2021-06-23 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,3
2020-01-02,2021-06-29,APH,AME,0.1980781560637658,0.0574727841110626,0.04170353250278325,0.055560827494038,-0.007028208353619947,2021-01-26 05:00:00+00:00,2021-01-27 05:00:00+00:00,Convergence,1
2020-01-02,2021-06-29,AME,APH,0.1980781560637658,-0.07966811161122478,-0.04805613040739343,0.055560827494038,-0.016366676550177317,2021-03-04 05:00:00+00:00,2021-03-09 05:00:00+00:00,Convergence,3
2020-01-02,2021-06-29,AME,APH,0.1980781560637658,-0.0758098082265537,-0.03206045536451141,0.055560827494038,-0.021629622317115293,2021-03-10 05:00:00+00:00,2021-03-11 05:00:00+00:00,Convergence,1
2020-01-02,2021-06-29,AME,APH,0.1980781560637658,-0.0657231806024483,-0.05446807697837963,0.055560827494038,-0.00505915760984621,2021-04-12 04:00:00+00:00,2021-04-13 04:00:00+00:00,Convergence,1
2020-01-02,2021-06-29,AME,APH,0.1980781560637658,-0.06165659095842191,-0.08177658454038883,0.055560827494038,0.009221833392458745,2021-04-19 04:00:00+00:00,2021-05-24 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,AME,APH,0.1980781560637658,-0.07868152668721895,-0.05644808664494261,0.055560827494038,-0.010448860261910164,2021-05-25 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,23
2020-01-02,2021-06-29,MDLZ,PEP,0.2040541579874133,-0.0570267363341177,-0.05443968035046376,0.05695574331403298,-0.0016683250925233484,2021-03-11 05:00:00+00:00,2021-03-23 04:00:00+00:00,Convergence,8
2020-01-02,2021-06-29,MDLZ,PEP,0.2040541579874133,-0.08296476573473766,-0.08511191616658742,0.05695574331403298,0.0002320666469592947,2021-04-28 04:00:00+00:00,2021-06-03 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,MDLZ,PEP,0.2040541579874133,-0.08878238237307023,-0.07994020893039977,0.05695574331403298,-0.0037619451098767076,2021-06-04 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,16
2020-01-02,2021-06-29,EXR,PSA,0.21179754262308711,-0.06981904773324099,-0.05655395413914088,0.056822431960557536,-0.00303289980383048,2021-02-25 05:00:00+00:00,2021-03-04 05:00:00+00:00,Convergence,5
2020-01-02,2021-06-29,EXR,PSA,0.21179754262308711,-0.06483860740637648,-0.06830295441513101,0.056822431960557536,0.005078790623149754,2021-03-08 05:00:00+00:00,2021-04-13 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,EXR,PSA,0.21179754262308711,-0.06396026143332789,-0.05932769461005316,0.056822431960557536,-0.0020151246812368795,2021-04-14 04:00:00+00:00,2021-05-19 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,EXR,PSA,0.21179754262308711,-0.05698443460052083,-0.1246089784587141,0.056822431960557536,0.028397912753042043,2021-05-20 04:00:00+00:00,2021-06-25 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,DOV,FTV,0.22046192283938734,0.07446766808451921,0.05100399261240507,0.05837156505386667,-0.011722748148876416,2021-03-05 05:00:00+00:00,2021-03-09 05:00:00+00:00,Convergence,2
2020-01-02,2021-06-29,DOV,FTV,0.22046192283938734,0.06467382627449902,0.0757007888869623,0.05837156505386667,0.004667487987254582,2021-03-10 05:00:00+00:00,2021-04-15 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,DOV,FTV,0.22046192283938734,0.08288485167912718,0.15733417491721458,0.05837156505386667,0.03304716933497254,2021-04-16 04:00:00+00:00,2021-05-21 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,DOV,FTV,0.22046192283938734,0.16154107151846842,0.1861378739848043,0.05837156505386667,0.011953899076466712,2021-05-24 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,24
2020-01-02,2021-06-29,LNT,CMS,0.2207791914949657,-0.05621765281614466,-0.04717366380290766,0.048133070970446216,-0.003949677602808954,2021-03-15 04:00:00+00:00,2021-03-17 04:00:00+00:00,Convergence,2
2020-01-02,2021-06-29,LNT,CMS,0.2207791914949657,-0.048204314981974195,-0.04388739531799013,0.048133070970446216,-0.0020458527814526395,2021-04-05 04:00:00+00:00,2021-04-06 04:00:00+00:00,Convergence,1
2020-01-02,2021-06-29,LNT,CMS,0.2207791914949657,-0.04941127910492238,-0.04788413210649001,0.048133070970446216,-0.0007628010479664438,2021-04-08 04:00:00+00:00,2021-04-12 04:00:00+00:00,Convergence,2
2020-01-02,2021-06-29,LNT,CMS,0.2207791914949657,-0.052855819914230384,-0.1445802990801921,0.048133070970446216,0.043349035294126814,2021-05-10 04:00:00+00:00,2021-06-15 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,LNT,CMS,0.2207791914949657,-0.13507122166199048,-0.11998502489839735,0.048133070970446216,-0.006827963584357666,2021-06-16 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,8
2020-01-02,2021-06-29,PNC,JPM,0.22601275611205682,-0.058735934858529015,-0.041056885426903555,0.05289244003842974,-0.0060505802733878955,2021-04-27 04:00:00+00:00,2021-05-18 04:00:00+00:00,Convergence,15
2020-01-02,2021-06-29,PNC,JPM,0.22601275611205682,-0.06669953564200104,-0.04669607856601021,0.05289244003842974,-0.006748893567188663,2021-06-15 04:00:00+00:00,2021-06-17 04:00:00+00:00,Convergence,2
2020-01-02,2021-06-29,PNC,JPM,0.22601275611205682,-0.06936930035023647,-0.08989153780135384,0.05289244003842974,0.007593210624891933,2021-06-21 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,5
2020-01-02,2021-06-29,RF,FITB,0.22666850464493016,-0.05106304216282176,-0.046727786629914725,0.0476810470691849,-0.001704911775466389,2021-02-23 05:00:00+00:00,2021-02-25 05:00:00+00:00,Convergence,2
2020-01-02,2021-06-29,FITB,RF,0.22666850464493016,0.048979591584911386,0.07547348396881337,0.0476810470691849,0.01090496366925775,2021-03-12 05:00:00+00:00,2021-04-19 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,FITB,RF,0.22666850464493016,0.07971029677916075,0.10211546849123176,0.0476810470691849,0.01137205964987853,2021-04-20 04:00:00+00:00,2021-05-25 04:00:00+00:00,Time Limit Reached (25 days),25
2020-01-02,2021-06-29,FITB,RF,0.22666850464493016,0.0937395925931821,0.13276964655444923,0.0476810470691849,0.02159089981307849,2021-05-26 04:00:00+00:00,2021-06-28 04:00:00+00:00,End of Period,22
2020-01-02,2021-06-29,UNP,IEX,0.24004121418899912,0.06328758543172452,0.04924632731585965,0.05973732711614036,-0.007044779856641092,2021-01-15 05:00:00+00:00,2021-01-20 05:00:00+00:00,Convergence,2
2020-01-02,2021-06-29,IEX,UNP,0.24004121418899912,-0.0834906632476442,-0.057655480548248095,0.05973732711614036,-0.011791415303856967,2021-04-22 04:00:00+00:00,2021-04-23 04:00:00+00:00,Convergence,1
