Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-13 00:00:00-04:00,34.76386809110932,35.39430164417845,34.223498437385196,35.30424118041992,306000,0.0,0.0
2019-03-14 00:00:00-04:00,35.57442487900555,36.61013735731241,35.41231330091254,35.98870849609375,279700,0.0,0.0
2019-03-15 00:00:00-04:00,36.52006771704396,36.970376821904146,36.4750374936751,36.943359375,164200,0.0,0.0
2019-03-18 00:00:00-04:00,37.58279214027567,37.58279214027567,36.44801486889445,36.79925537109375,581700,0.0,0.0
2019-03-19 00:00:00-04:00,37.285603356141095,37.285603356141095,35.169148042193015,35.61945724487305,2540200,0.0,0.0
2019-03-20 00:00:00-04:00,35.88963406243795,35.890537621503576,33.73715710413552,33.863243103027344,5147900,0.0,0.0
2019-03-21 00:00:00-04:00,34.223492000075744,35.04305443423307,34.07939322381465,35.01603698730469,8865500,0.0,0.0
2019-03-22 00:00:00-04:00,34.907962798416534,34.98001390943815,32.91759723685646,33.737159729003906,4902500,0.0,0.0
2019-03-25 00:00:00-04:00,33.83622513304579,34.05237501036479,32.73746984154685,32.82753372192383,4035100,0.0,0.0
2019-03-26 00:00:00-04:00,32.836548114046394,33.638097990993835,32.836548114046394,33.061702728271484,3350900,0.0,0.0
2019-03-27 00:00:00-04:00,33.097718157737305,33.47597614474459,32.47629284954575,32.602378845214844,2871300,0.0,0.0
2019-03-28 00:00:00-04:00,32.54834511002108,32.84555080082093,32.01698017073731,32.12505340576172,2220600,0.0,0.0
2019-03-29 00:00:00-04:00,32.314186096191406,32.575362796431435,31.87288161029235,32.314186096191406,2679200,0.0,0.0
2019-04-01 00:00:00-04:00,32.57536331665596,32.72847021911812,32.36822151321938,32.55735397338867,4338400,0.0,0.0
2019-04-02 00:00:00-04:00,32.61138671225595,32.83654127961853,31.710768442805616,32.15207290649414,1491200,0.0,0.0
2019-04-03 00:00:00-04:00,32.224126407351925,32.32319498459586,31.791829972131126,31.971954345703125,2831600,0.0,0.0
2019-04-04 00:00:00-04:00,32.025987709299024,32.485301526689746,31.87288081311136,32.449275970458984,2223200,0.0,0.0
2019-04-05 00:00:00-04:00,32.41324910645388,33.403927708720765,32.3682154499626,33.30485916137695,2116200,0.0,0.0
2019-04-08 00:00:00-04:00,33.26883807032815,33.26883807032815,33.00766137982864,33.187782287597656,1929000,0.0,0.0
2019-04-09 00:00:00-04:00,33.15176822446818,33.385927522828695,32.953631055064484,33.22381591796875,1793900,0.0,0.0
2019-04-10 00:00:00-04:00,33.241824195609695,33.36791021883986,32.29617558579703,32.35921859741211,843600,0.0,0.0
2019-04-11 00:00:00-04:00,32.404245399237105,32.87256731851088,31.998966484905367,32.79151153564453,978200,0.0,0.0
2019-04-12 00:00:00-04:00,32.845543382595615,33.394920976236556,32.3502006764699,33.27783966064453,3175200,0.0,0.0
2019-04-15 00:00:00-04:00,33.24181616499191,33.31386726690946,32.84554541120229,33.30485916137695,891200,0.0,0.0
2019-04-16 00:00:00-04:00,33.42194439993209,33.575047856066114,33.25983283721016,33.51200485229492,1869000,0.0,0.0
2019-04-17 00:00:00-04:00,33.48498861111771,34.44864991560943,33.48498861111771,34.41262435913086,2122100,0.0,0.0
2019-04-18 00:00:00-04:00,34.5297049450287,34.556722394003906,34.15144348144531,34.15144348144531,2315200,0.0,0.0
