Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-01-08 00:00:00-05:00,63.79456772190252,64.60465695775926,63.38952310397414,64.40213775634766,674556,0.0,0.0
1997-01-09 00:00:00-05:00,64.60465677384894,65.81979062417494,64.60465677384894,65.61727142333984,588226,0.0,0.0
1997-01-10 00:00:00-05:00,65.21222680656452,65.61727142333984,64.80718218978917,65.61727142333984,380469,0.0,0.0
1997-01-13 00:00:00-05:00,65.81979378171414,65.81979378171414,64.80718529875104,65.41474914550781,163309,0.0,0.0
1997-01-14 00:00:00-05:00,65.61727457116369,65.61727457116369,64.80718529875104,65.41474914550781,366491,0.0,0.0
1997-01-15 00:00:00-05:00,65.21221173879589,66.83238983154297,65.00968636965065,66.83238983154297,323904,0.0,0.0
1997-01-16 00:00:00-05:00,67.03493038679423,67.64249420166016,66.22483494179781,67.64249420166016,404704,0.0,0.0
1997-01-17 00:00:00-05:00,68.45257564398962,70.07275391945137,68.45257564398962,69.66770935058594,797441,0.0,0.0
1997-01-20 00:00:00-05:00,69.66774703298864,70.68036211041512,69.465227746568,70.47783660888672,368452,0.0,0.0
1997-01-21 00:00:00-05:00,70.47781830609287,70.47781830609287,69.6677289405716,70.27529907226562,541365,0.0,0.0
1997-01-22 00:00:00-05:00,70.27529907226562,70.27529907226562,69.6677289405716,70.27529907226562,349396,0.0,0.0
1997-01-23 00:00:00-05:00,70.07273826090906,70.27526360763741,68.04751586914062,68.04751586914062,470721,0.0,0.0
1997-01-24 00:00:00-05:00,67.64249107383169,67.84501647949219,66.22483187952274,67.84501647949219,445782,0.0,0.0
1997-01-27 00:00:00-05:00,67.43995350877127,67.6424788779165,66.83238983154297,66.83238983154297,231037,0.0,0.0
1997-01-28 00:00:00-05:00,67.23746490478516,67.84503507317311,67.03494565872685,67.23746490478516,199863,0.0,0.0
1997-01-29 00:00:00-05:00,67.43998415084346,67.64250961200828,67.03494565872685,67.23746490478516,173114,0.0,0.0
1997-01-30 00:00:00-05:00,67.64250577429179,69.4652099609375,67.64250577429179,69.4652099609375,245819,0.0,0.0
1997-01-31 00:00:00-05:00,70.07275080589204,70.6803207397461,69.4651870871421,70.6803207397461,394849,0.0,0.0
1997-02-03 00:00:00-05:00,70.47780320546903,70.47780320546903,68.04753562961609,68.25006103515625,260551,0.0,0.0
1997-02-04 00:00:00-05:00,68.6551056719245,68.85762486248017,67.43996566817121,67.84501647949219,163863,0.0,0.0
1997-02-05 00:00:00-05:00,67.84502011629142,68.04753931770303,63.99709313841928,64.40213775634766,590689,0.0,0.0
1997-02-06 00:00:00-05:00,64.60465677384894,65.61727142333984,64.19961215707362,65.61727142333984,286345,0.0,0.0
1997-02-07 00:00:00-05:00,66.22483517965155,66.42736059540432,65.21222674620307,66.0223159790039,139829,0.0,0.0
1997-02-10 00:00:00-05:00,65.61728607589264,67.43998415084346,65.41476061472781,67.23746490478516,379161,0.0,0.0
1997-02-11 00:00:00-05:00,67.43996878663476,67.84501961668553,67.03493038679423,67.64249420166016,300172,0.0,0.0
1997-02-12 00:00:00-05:00,67.6424910336406,68.45258022559159,67.6424910336406,68.25006103515625,405558,0.0,0.0
1997-02-13 00:00:00-05:00,68.4525907373604,69.87025014852672,68.25007151582565,69.26268005371094,371720,0.0,0.0
1997-02-14 00:00:00-05:00,69.66772146001975,70.27529152647611,69.06015760866887,69.87024688720703,312591,0.0,0.0
1997-02-18 00:00:00-05:00,69.66774146758819,69.87026695293785,66.02233866725949,66.42738342285156,1098417,0.0,0.0
1997-02-19 00:00:00-05:00,66.42735002267248,68.25005361392117,66.22482463915412,67.87032318115234,892068,0.0,0.0
1997-02-20 00:00:00-05:00,68.04754349701892,68.04754349701892,66.83240956860321,67.0349349975586,267741,0.0,0.0
1997-02-21 00:00:00-05:00,67.03490778080791,68.04751586914062,66.83238243407956,68.04751586914062,365837,0.0,0.0
1997-02-24 00:00:00-05:00,68.65511637962992,69.06016103901834,68.25007172024151,68.45259094238281,532566,0.0,0.0
