Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-02 00:00:00-05:00,3.2941698484001143,3.3442986011505127,3.2870083913273427,3.3442986011505127,1014449,0.0,0.0
1996-01-03 00:00:00-05:00,3.3586209331608616,3.42307202128735,3.3586209331608616,3.3944270610809326,2671302,0.0,0.0
1996-01-04 00:00:00-05:00,3.4087492334432663,3.4517165233742775,3.358620487397285,3.38726544380188,3979944,0.0,0.0
1996-01-05 00:00:00-05:00,3.35146052872274,3.4015890034865865,3.35146052872274,3.380105495452881,3391558,0.0,0.0
1996-01-08 00:00:00-05:00,3.3682775536175122,3.411646089562944,3.346593285644796,3.353821277618408,447512,0.206,0.0
1996-01-09 00:00:00-05:00,3.361051049524478,3.361051049524478,3.3032265040338715,3.332138776779175,2241002,0.0,0.0
1996-01-10 00:00:00-05:00,3.267085472527535,3.3032257319994107,3.187576668047856,3.209260940551758,2722409,0.0,0.0
1996-01-11 00:00:00-05:00,3.2309458255767822,3.2454021086440457,3.1731212774117736,3.2309458255767822,1968523,0.0,0.0
1996-01-12 00:00:00-05:00,3.252628759551767,3.2743130291626192,3.1803482502514617,3.2237164974212646,1734440,0.0,0.0
1996-01-15 00:00:00-05:00,3.2237149177068565,3.2381708956623054,3.187574680766475,3.202030658721924,1294872,0.0,0.0
1996-01-16 00:00:00-05:00,3.2237177227392513,3.3465948104858394,3.2164897274722786,3.34659481048584,2529370,0.0,0.0
1996-01-17 00:00:00-05:00,3.3321382705400033,3.339366264615205,3.267085739759258,3.2887697219848633,2754450,0.0,0.0
1996-01-18 00:00:00-05:00,3.2959970022640066,3.2959970022640066,3.2598567508650484,3.274312734603882,2345598,0.0,0.0
1996-01-19 00:00:00-05:00,3.259857044123319,3.259857044123319,3.1948042352907624,3.2237164974212646,2757098,0.0,0.0
1996-01-22 00:00:00-05:00,3.2309440584866422,3.2381720500410798,3.173119541947416,3.1875758171081543,2258744,0.0,0.0
1996-01-23 00:00:00-05:00,3.1803471117110544,3.1948030915752224,3.158662849863005,3.173118829727173,1555965,0.0,0.0
1996-01-24 00:00:00-05:00,3.209261839053921,3.252630104151666,3.187577560479037,3.2309458255767822,2324150,0.0,0.0
1996-01-25 00:00:00-05:00,3.245400767032117,3.245400767032117,3.2164885049016143,3.2237164974212646,1481291,0.0,0.0
1996-01-26 00:00:00-05:00,3.180347826740932,3.259856610025014,3.180347826740932,3.2526283264160156,2005860,0.0,0.0
1996-01-29 00:00:00-05:00,3.2526283264160156,3.2815405846964216,3.2309440596927455,3.2526283264160156,1117986,0.0,0.0
1996-01-30 00:00:00-05:00,3.2526272257904023,3.2598555069534916,3.223714977293337,3.245399236679077,1374047,0.0,0.0
1996-01-31 00:00:00-05:00,3.252628466943756,3.281540726473298,3.2237162074142147,3.274312734603882,2242062,0.0,0.0
1996-02-01 00:00:00-05:00,3.3032246152246922,3.317680597305298,3.2743123590116388,3.317680597305298,1463814,0.0,0.0
1996-02-02 00:00:00-05:00,3.353822762299145,3.353822762299145,3.310454499207195,3.332138776779175,3091010,0.0,0.0
1996-02-05 00:00:00-05:00,3.339365293671184,3.3610495616439002,3.310453033724856,3.353821277618408,1625872,0.0,0.0
1996-02-06 00:00:00-05:00,3.3610514782777936,3.411648035049438,3.3465951940350185,3.4116480350494385,1883258,0.0,0.0
1996-02-07 00:00:00-05:00,3.4116463633740963,3.4694705958557166,3.4116463633740963,3.462242603302002,2261127,0.0,0.0
1996-02-08 00:00:00-05:00,3.4333307273345226,3.440559012753427,3.368278202927936,3.418874740600586,3368256,0.0,0.0
1996-02-09 00:00:00-05:00,3.4333319664001465,3.462244242354195,3.397191694470596,3.4333319664001465,2676334,0.0,0.0
1996-02-12 00:00:00-05:00,3.411645332266424,3.47669782969273,3.411645332266424,3.4694695472717285,2235442,0.0,0.0
1996-02-13 00:00:00-05:00,3.4694716042436187,3.483927885604611,3.4333313389191202,3.4405596256256104,2208962,0.0,0.0
1996-02-14 00:00:00-05:00,3.4261014796128793,3.4333294703335557,3.317680450595414,3.32490873336792,2230410,0.0,0.0
1996-02-15 00:00:00-05:00,3.3104546523166745,3.324910935383938,3.2309458255767822,3.2309458255767822,2293698,0.0,0.0
1996-02-16 00:00:00-05:00,3.245400767032117,3.245400767032117,3.1948042352907624,3.2237164974212646,2989592,0.0,0.0
1996-02-20 00:00:00-05:00,3.180346488952637,3.209258735071329,3.136977973748729,3.1803464889526367,2399088,0.0,0.0
1996-02-21 00:00:00-05:00,3.180348674563869,3.2237169275197317,3.180348674563869,3.209260940551758,3213878,0.0,0.0
1996-02-22 00:00:00-05:00,3.267085739759258,3.3104539962624333,3.2598577456840565,3.2887697219848633,2501036,0.0,0.0
1996-02-23 00:00:00-05:00,3.3176808376495184,3.346593095957075,3.2309440627268478,3.2381720542907715,2248946,0.0,0.0
1996-02-26 00:00:00-05:00,3.2237166939005837,3.2670852357655176,3.1948044300079346,3.1948044300079346,2150176,0.0,0.0
1996-02-27 00:00:00-05:00,3.209260940551758,3.2309449210037187,3.1514364085759805,3.209260940551758,2438278,0.0,0.0
1996-02-28 00:00:00-05:00,3.2381720012815665,3.281540534058886,3.1514355198306445,3.158663511276245,2570414,0.0,0.0
1996-02-29 00:00:00-05:00,3.158662849863005,3.202031081507306,3.136978588014956,3.173118829727173,2336595,0.0,0.0
1996-03-01 00:00:00-05:00,3.194803807420288,3.194803807420288,3.108067032645176,3.122523307800293,2017776,0.0,0.0
1996-03-04 00:00:00-05:00,3.12975129935192,3.1442075745070364,3.0936107574900595,3.122523307800293,2472702,0.0,0.0
1996-03-05 00:00:00-05:00,3.115296149104105,3.209260940551758,3.10083987008419,3.209260940551758,1796138,0.0,0.0
1996-03-06 00:00:00-05:00,3.2092600838233296,3.252628325201818,3.1803478255537168,3.1875758171081543,1391259,0.0,0.0
1996-03-07 00:00:00-05:00,3.173119828673478,3.173119828673478,3.1225235911686293,3.1514358520507812,1306523,0.0,0.0
1996-03-08 00:00:00-05:00,3.1297511546483463,3.1297511546483463,2.977961878822821,3.0213301181793213,2165005,0.0,0.0
1996-03-11 00:00:00-05:00,3.006874040948917,3.0502422789381787,2.985189775928366,3.0430142879486084,2407297,0.0,0.0
1996-03-12 00:00:00-05:00,3.0141039128352234,3.0285601958873842,2.8767705380737927,2.963507652282715,4616523,0.0,0.0
1996-03-13 00:00:00-05:00,2.9562771320343018,2.985189384250936,2.9490491419930938,2.9562771320343018,2529634,0.0,0.0
