Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2013-01-17 00:00:00-05:00,12952.0,12952.0,12322.400390625,12952.0,171683,0.0,0.0,0.0
2013-01-18 00:00:00-05:00,12952.0,13761.5,12952.0,13761.5,48107,0.0,0.0,0.0
2013-01-22 00:00:00-05:00,14301.2001953125,14301.2001953125,13311.7998046875,13311.7998046875,65985,0.0,0.0,0.0
2013-01-23 00:00:00-05:00,13311.7998046875,13311.7998046875,12592.2001953125,12952.0,40280,0.0,0.0,0.0
2013-01-24 00:00:00-05:00,12862.099609375,13311.7998046875,12682.2001953125,13311.7998046875,41436,0.0,0.0,0.0
2013-01-25 00:00:00-05:00,13491.7001953125,13491.7001953125,13042.0,13491.7001953125,40847,0.0,0.0,0.0
2013-01-28 00:00:00-05:00,13491.7001953125,13491.7001953125,13221.7998046875,13491.7001953125,89310,0.0,0.0,0.0
2013-01-29 00:00:00-05:00,13581.599609375,13581.599609375,13491.7001953125,13491.7001953125,26227,0.0,0.0,0.0
2013-01-30 00:00:00-05:00,13491.7001953125,13491.7001953125,13311.7998046875,13401.7001953125,52710,0.0,0.0,0.0
2013-01-31 00:00:00-05:00,13401.7001953125,13401.7001953125,13221.7998046875,13311.7998046875,36833,0.0,0.0,0.0
2013-02-01 00:00:00-05:00,13401.7001953125,13671.599609375,13311.7998046875,13671.599609375,40158,0.0,0.0,0.0
2013-02-04 00:00:00-05:00,13491.7001953125,14211.2001953125,13491.7001953125,14211.2001953125,69264,0.0,0.0,0.0
2013-02-05 00:00:00-05:00,14301.2001953125,14930.7998046875,14031.2998046875,14930.7998046875,98371,0.0,0.0,0.0
2013-02-06 00:00:00-05:00,14930.7998046875,14930.7998046875,14391.099609375,14391.099609375,59603,0.0,0.0,0.0
2013-02-07 00:00:00-05:00,14391.099609375,14571.0,14391.099609375,14571.0,57012,0.0,0.0,0.0
2013-02-08 00:00:00-05:00,14571.0,15290.599609375,14571.0,15290.599609375,108967,0.0,0.0,0.0
2013-02-11 00:00:00-05:00,15290.599609375,15290.599609375,15290.599609375,15290.599609375,0,0.0,0.0,0.0
2013-02-12 00:00:00-05:00,15290.599609375,15290.599609375,15290.599609375,15290.599609375,0,0.0,0.0,0.0
2013-02-13 00:00:00-05:00,15290.599609375,15290.599609375,15290.599609375,15290.599609375,0,0.0,0.0,0.0
2013-02-14 00:00:00-05:00,15290.599609375,15290.599609375,15290.599609375,15290.599609375,0,0.0,0.0,0.0
2013-02-15 00:00:00-05:00,15290.599609375,15290.599609375,15290.599609375,15290.599609375,0,0.0,0.0,0.0
2013-02-19 00:00:00-05:00,16369.900390625,16999.5,16190.0,16999.5,125844,0.0,0.0,0.0
2013-02-20 00:00:00-05:00,18168.80078125,18168.80078125,16999.5,18168.80078125,174629,0.0,0.0,0.0
2013-02-21 00:00:00-05:00,19428.0,19428.0,18888.30078125,19428.0,221603,0.0,0.0,0.0
2013-02-22 00:00:00-05:00,19967.69921875,20237.5,19518.0,19967.69921875,143999,0.0,0.0,0.0
2013-02-25 00:00:00-05:00,19787.80078125,19967.69921875,19158.19921875,19338.099609375,97393,0.0,0.0,0.0
2013-02-26 00:00:00-05:00,18888.30078125,19068.19921875,17988.900390625,17988.900390625,79237,0.0,0.0,0.0
2013-02-27 00:00:00-05:00,18078.80078125,18438.599609375,16729.69921875,18438.599609375,144344,0.0,0.0,0.0
2013-02-28 00:00:00-05:00,18438.599609375,18978.30078125,17988.900390625,18888.30078125,70054,0.0,0.0,0.0
2013-03-01 00:00:00-05:00,18888.30078125,19338.099609375,18708.5,19338.099609375,101262,0.0,0.0,0.0
2013-03-04 00:00:00-05:00,18078.80078125,19967.69921875,17988.900390625,19967.69921875,114637,0.0,0.0,0.0
2013-03-05 00:00:00-05:00,19967.69921875,20237.5,19338.099609375,19338.099609375,52565,0.0,0.0,0.0
2013-03-06 00:00:00-05:00,18888.30078125,18888.30078125,18438.599609375,18888.30078125,50553,0.0,0.0,0.0
2013-03-07 00:00:00-05:00,18438.599609375,20147.599609375,18438.599609375,19967.69921875,153683,0.0,0.0,0.0
2013-03-08 00:00:00-05:00,19967.69921875,20327.5,19607.900390625,20237.5,128779,0.0,0.0,0.0
2013-03-11 00:00:00-04:00,20147.599609375,20327.5,19787.80078125,19967.69921875,115604,0.0,0.0,0.0
2013-03-12 00:00:00-04:00,19967.69921875,21047.0,19787.80078125,21047.0,232698,0.0,0.0,0.0
2013-03-13 00:00:00-04:00,21047.0,22486.099609375,20327.5,22486.099609375,195809,0.0,0.0,0.0
2013-03-14 00:00:00-04:00,24015.19921875,24015.19921875,23385.599609375,24015.19921875,230219,0.0,0.0,0.0
2013-03-15 00:00:00-04:00,25634.19921875,25634.19921875,25634.19921875,25634.19921875,112680,0.0,0.0,0.0
2013-03-18 00:00:00-04:00,26983.400390625,27343.099609375,25904.0,27343.099609375,199245,0.0,0.0,0.0
2013-03-19 00:00:00-04:00,27343.099609375,29232.0,26983.400390625,28782.19921875,195198,0.0,0.0,0.0
2013-03-20 00:00:00-04:00,28782.19921875,29321.900390625,28332.5,28332.5,284864,0.0,0.0,0.0
