Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2007-03-23 00:00:00-04:00,104.45912170410156,105.99504852294922,104.37654876708984,105.11973571777344,950800,0.0,0.0,0.0
2007-03-26 00:00:00-04:00,104.80594635009766,105.33443450927734,104.07927703857422,104.59124755859375,1063500,0.0,0.0,0.0
2007-03-27 00:00:00-04:00,104.31048583984375,104.87200927734375,103.7654800415039,104.0462417602539,720700,0.0,0.0,0.0
2007-03-28 00:00:00-04:00,104.0462417602539,105.11973571777344,103.00578308105469,103.94715118408203,707100,0.0,0.0,0.0
2007-03-29 00:00:00-04:00,104.36003112792969,104.83897399902344,103.1544189453125,103.63336181640625,620600,0.0,0.0,0.0
2007-03-30 00:00:00-04:00,103.3691177368164,104.40957641601562,102.6919937133789,103.88108825683594,950800,0.0,0.0,0.0
2007-04-02 00:00:00-04:00,104.2939682006836,105.10321807861328,103.69942474365234,104.47563934326172,529000,0.0,0.0,0.0
2007-04-03 00:00:00-04:00,104.95458221435547,106.54004669189453,104.95458221435547,106.11064910888672,899000,0.0,0.0,0.0
2007-04-04 00:00:00-04:00,106.01155853271484,106.2427749633789,104.97109985351562,105.69776916503906,705700,0.0,0.0,0.0
2007-04-05 00:00:00-04:00,105.2848892211914,105.94550323486328,105.21882629394531,105.51610565185547,338400,0.0,0.0,0.0
2007-04-09 00:00:00-04:00,105.48307037353516,106.17671203613281,104.5086669921875,106.04459381103516,288400,0.0,0.0,0.0
2007-04-10 00:00:00-04:00,106.04459381103516,106.9198989868164,106.04459381103516,106.87035369873047,858200,0.0,0.0,0.0
2007-04-11 00:00:00-04:00,105.69776916503906,107.2667236328125,105.30140686035156,105.78034973144531,624700,0.0,0.0,0.0
2007-04-12 00:00:00-04:00,104.36003112792969,105.69776916503906,104.36003112792969,105.23534393310547,551000,0.0,0.0,0.0
2007-04-13 00:00:00-04:00,103.81502532958984,106.9198989868164,103.81502532958984,106.75474548339844,469900,0.0,0.0,0.0
2007-04-16 00:00:00-04:00,105.31791687011719,107.56399536132812,105.31791687011719,106.68869018554688,512200,0.0,0.0,0.0
2007-04-17 00:00:00-04:00,106.68869018554688,108.30718231201172,106.308837890625,108.07597351074219,532100,0.0,0.0,0.0
2007-04-18 00:00:00-04:00,106.67217254638672,108.04293823242188,106.67217254638672,107.49793243408203,480500,0.0,0.0,0.0
2007-04-19 00:00:00-04:00,106.06110382080078,107.10157012939453,105.99504852294922,106.80429077148438,600400,0.0,0.0,0.0
2007-04-20 00:00:00-04:00,105.58216094970703,108.47233581542969,105.58216094970703,108.10900115966797,564400,0.0,0.0,0.0
2007-04-23 00:00:00-04:00,106.67217254638672,110.00825500488281,106.67217254638672,109.41370391845703,541600,0.0,0.0,0.0
2007-04-24 00:00:00-04:00,109.69446563720703,109.82659149169922,108.1585464477539,109.01734161376953,434600,0.0,0.0,0.0
2007-04-25 00:00:00-04:00,107.58051300048828,110.02477264404297,107.58051300048828,109.23204040527344,568500,0.0,0.0,0.0
2007-04-26 00:00:00-04:00,109.23204040527344,110.15689849853516,108.80264282226562,109.21552276611328,458400,0.0,0.0,0.0
2007-04-27 00:00:00-04:00,104.40957641601562,109.43022155761719,104.40957641601562,109.21552276611328,449500,0.0,0.0,0.0
2007-04-30 00:00:00-04:00,107.84475708007812,109.74401092529297,107.51445007324219,107.51445007324219,724900,0.0,0.0,0.0
2007-05-01 00:00:00-04:00,107.67960357666016,107.91082000732422,105.94550323486328,106.44095611572266,762500,0.0,0.0,0.0
2007-05-02 00:00:00-04:00,106.7712631225586,107.6630859375,106.07762145996094,106.7712631225586,539000,0.0,0.0,0.0
2007-05-03 00:00:00-04:00,107.18414306640625,107.61354064941406,106.34186553955078,106.67217254638672,457000,0.0,0.0,0.0
2007-05-04 00:00:00-04:00,107.00247955322266,107.01898956298828,105.94550323486328,106.19322967529297,699300,0.0,0.0,0.0
2007-05-07 00:00:00-04:00,106.60610961914062,107.08505249023438,106.308837890625,106.58959197998047,523100,0.0,0.0,0.0
2007-05-08 00:00:00-04:00,106.35838317871094,106.72171783447266,105.94550323486328,106.27580261230469,442200,0.0,0.0,0.0
2007-05-09 00:00:00-04:00,106.27580261230469,107.81172943115234,105.99504852294922,107.10157012939453,381800,0.0,0.0,0.0
2007-05-10 00:00:00-04:00,106.5235366821289,107.59703063964844,105.33443450927734,105.3509521484375,518600,0.0,0.0,0.0
2007-05-11 00:00:00-04:00,105.36746215820312,107.49793243408203,105.2848892211914,106.34186553955078,350900,0.0,0.0,0.0
2007-05-14 00:00:00-04:00,107.21717834472656,107.34929656982422,105.21882629394531,105.40049743652344,413700,0.0,0.0,0.0
2007-05-15 00:00:00-04:00,105.45004272460938,105.64822387695312,103.30305480957031,103.63336181640625,536800,0.0,0.0,0.0
2007-05-16 00:00:00-04:00,103.88108825683594,103.98017883300781,102.21305084228516,102.6589584350586,524100,0.0,0.0,0.0
2007-05-17 00:00:00-04:00,102.46077728271484,102.55986785888672,100.7431869506836,101.10652160644531,589900,0.0,0.0,0.0
2007-05-18 00:00:00-04:00,101.28819274902344,101.28819274902344,98.9760513305664,99.45499420166016,931100,0.0,0.0,0.0
2007-05-21 00:00:00-04:00,99.2568130493164,100.87531280517578,99.2568130493164,99.48802947998047,723200,0.0,0.0,0.0
2007-05-22 00:00:00-04:00,99.86787414550781,101.22212982177734,99.17423248291016,99.86787414550781,982200,0.0,0.0,0.0
2007-05-23 00:00:00-04:00,99.95045471191406,100.8918228149414,98.46408081054688,98.53014373779297,705800,0.0,0.0,0.0
2007-05-24 00:00:00-04:00,98.38150024414062,98.84393310546875,95.90421295166016,96.8455810546875,799300,0.0,0.0,0.0
2007-05-25 00:00:00-04:00,96.87861633300781,98.84393310546875,96.64739990234375,97.50619506835938,545700,0.0,0.0,0.0
2007-05-29 00:00:00-04:00,98.81089782714844,100.57803344726562,98.49710845947266,99.47151184082031,1041200,0.0,0.0,0.0
2007-05-30 00:00:00-04:00,99.63666534423828,102.8075942993164,99.20726776123047,102.70850372314453,947600,0.0,0.0,0.0
2007-05-31 00:00:00-04:00,102.8736572265625,103.86457824707031,101.56895446777344,101.81668090820312,652100,0.0,0.0,0.0
2007-06-01 00:00:00-04:00,101.9818344116211,102.46077728271484,100.6771240234375,101.635009765625,419400,0.0,0.0,0.0
2007-06-04 00:00:00-04:00,101.40380096435547,102.70850372314453,100.87531280517578,102.06440734863281,532300,0.0,0.0,0.0
2007-06-05 00:00:00-04:00,102.22956085205078,102.2625961303711,100.26424407958984,100.26424407958984,515400,0.0,0.0,0.0
2007-06-06 00:00:00-04:00,99.48802947998047,100.54500579833984,99.09165954589844,99.55408477783203,468700,0.0,0.0,0.0
