Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2007-10-29 00:00:00-04:00,36.0,36.5,35.93000030517578,36.0,2620400,0.0,0.0,0.0
2007-10-30 00:00:00-04:00,35.880001068115234,35.880001068115234,34.189998626708984,34.560001373291016,3033600,0.0,0.0,0.0
2007-10-31 00:00:00-04:00,34.849998474121094,35.22999954223633,34.380001068115234,35.20000076293945,1916300,0.0,0.0,0.0
2007-11-01 00:00:00-04:00,34.7400016784668,34.7400016784668,33.779998779296875,33.939998626708984,1965500,0.0,0.0,0.0
2007-11-02 00:00:00-04:00,30.649999618530273,32.0,29.149999618530273,31.889999389648438,6565000,0.0,0.0,0.0
2007-11-05 00:00:00-05:00,30.530000686645508,30.920000076293945,29.700000762939453,30.56999969482422,4434589,0.0,0.0,0.0
2007-11-06 00:00:00-05:00,30.600000381469727,30.920000076293945,30.010000228881836,30.399999618530273,2521268,0.0,0.0,0.0
2007-11-07 00:00:00-05:00,30.280000686645508,30.329999923706055,29.059999465942383,29.1200008392334,2997269,0.0,0.0,0.0
2007-11-08 00:00:00-05:00,29.280000686645508,30.299999237060547,28.040000915527344,29.040000915527344,3063819,0.0,0.0,0.0
2007-11-09 00:00:00-05:00,28.450000762939453,29.15999984741211,28.030000686645508,28.600000381469727,2800602,0.0,0.0,0.0
2007-11-12 00:00:00-05:00,28.600000381469727,28.700000762939453,26.479999542236328,26.649999618530273,4202309,0.0,0.0,0.0
2007-11-13 00:00:00-05:00,27.31999969482422,27.760000228881836,26.809999465942383,27.709999084472656,3293505,0.0,0.0,0.0
2007-11-14 00:00:00-05:00,28.0,28.329999923706055,27.299999237060547,27.489999771118164,2674588,0.0,0.0,0.0
2007-11-15 00:00:00-05:00,27.440000534057617,27.802000045776367,27.219999313354492,27.802000045776367,2179134,0.0,0.0,0.0
2007-11-16 00:00:00-05:00,28.399999618530273,28.399999618530273,27.049999237060547,27.43000030517578,2087264,0.0,0.0,0.0
2007-11-19 00:00:00-05:00,27.450000762939453,27.450000762939453,25.799999237060547,26.0,2508648,0.0,0.0,0.0
2007-11-20 00:00:00-05:00,26.09000015258789,27.450000762939453,26.09000015258789,26.670000076293945,2683506,0.0,0.0,0.0
2007-11-21 00:00:00-05:00,26.209999084472656,26.450000762939453,25.260000228881836,25.59000015258789,3055417,0.0,0.0,0.0
2007-11-23 00:00:00-05:00,25.639999389648438,26.100000381469727,25.520000457763672,26.040000915527344,979781,0.0,0.0,0.0
2007-11-26 00:00:00-05:00,26.40999984741211,27.229999542236328,26.18000030517578,26.329999923706055,2172345,0.0,0.0,0.0
2007-11-27 00:00:00-05:00,26.649999618530273,26.850000381469727,25.959999084472656,26.6200008392334,2245070,0.0,0.0,0.0
2007-11-28 00:00:00-05:00,26.8700008392334,29.270000457763672,26.8700008392334,29.06999969482422,3813943,0.0,0.0,0.0
2007-11-29 00:00:00-05:00,28.989999771118164,29.6200008392334,28.729999542236328,28.860000610351562,2103311,0.0,0.0,0.0
